name,qx,qy,is_metropolitan,country
Berlin,52.52,13.405,True,Germany
Hamburg,53.5511,9.9937,True,Germany
Munich,48.1374,11.5755,True,Germany
Cologne,50.9375,6.9603,True,Germany
Frankfurt am Main,50.1109,8.6821,True,Germany
Stuttgart,48.7758,9.1829,True,Germany
Düsseldorf,51.2277,6.7735,True,Germany
Dortmund,51.5136,7.4653,True,Germany
Essen,51.4556,7.0116,True,Germany
Bremen,53.0793,8.8017,True,Germany
Leipzig,51.3397,12.3731,True,Germany
Dresden,51.0504,13.7373,True,Germany
Hanover,52.3759,9.732,True,Germany
Nuremberg,49.4521,11.0767,True,Germany
Duisburg,51.4344,6.7623,True,Germany
Bochum,51.4818,7.2162,True,Germany
Wuppertal,51.2562,7.1508,True,Germany
Bielefeld,52.02,8.531,True,Germany
Bonn,50.7374,7.0982,True,Germany
Münster,51.9607,7.6261,True,Germany
Karlsruhe,49.0069,8.4037,True,Germany
Mannheim,49.4875,8.466,True,Germany
Augsburg,48.3705,10.8978,True,Germany
Wiesbaden,50.0826,8.2417,True,Germany
Mainz,50.0012,8.2742,True,Germany
Saarbrücken,49.2402,6.9969,True,Germany
Kiel,54.3233,10.1228,True,Germany
Lübeck,53.8655,10.6866,True,Germany
Magdeburg,52.1205,11.6276,True,Germany
Erfurt,50.9787,11.0328,True,Germany
Potsdam,52.3906,13.0645,True,Germany
Schwerin,53.6294,11.4148,True,Germany
Rostock,54.0924,12.0991,True,Germany
Freiburg im Breisgau,47.999,7.8421,True,Germany
Heidelberg,49.3988,8.6724,True,Germany
Kassel,51.3127,9.4797,True,Germany
Oldenburg,53.1435,8.2146,True,Germany
Osnabrück,52.2799,8.0472,True,Germany
Regensburg,49.0134,12.1016,True,Germany
Würzburg,49.7913,9.9534,True,Germany
Ulm,48.4,9.9937,True,Germany
Paderborn,51.7189,8.7575,True,Germany
Trier,49.7499,6.6371,True,Germany
Jena,50.9271,11.5892,True,Germany
Gera,50.8772,12.0819,True,Germany
Chemnitz,50.8278,12.9214,True,Germany
Hagen,51.3671,7.4633,True,Germany
Hamm,51.6739,7.815,True,Germany
Krefeld,51.3388,6.5853,True,Germany
Mönchengladbach,51.1954,6.4417,True,Germany
Koblenz,50.3569,7.5886,True,Germany
Flensburg,54.7833,9.4333,False,Germany
Cottbus,51.7577,14.3289,False,Germany
Bremerhaven,53.5413,8.5767,False,Germany
Offenbach am Main,50.0956,8.7761,False,Germany
Heilbronn,49.1427,9.2109,False,Germany
Pforzheim,48.8919,8.6947,False,Germany
Reutlingen,48.4914,9.2043,False,Germany
Ingolstadt,48.7665,11.4257,False,Germany
Fürth,49.4774,10.9887,False,Germany
Erlangen,49.5897,11.0119,False,Germany
Siegen,50.8748,8.0243,False,Germany
Göttingen,51.5339,9.9356,False,Germany
Hildesheim,52.1548,9.957,False,Germany
Salzgitter,52.1548,10.3333,False,Germany
Wolfsburg,52.4227,10.7865,False,Germany
Braunschweig,52.2689,10.5268,False,Germany
Halle (Saale),51.4963,11.9689,False,Germany
Neuss,51.1986,6.693,False,Germany
Solingen,51.1652,7.0671,False,Germany
Remscheid,51.1787,7.1897,False,Germany
Darmstadt,49.8728,8.6512,False,Germany
Ludwigshafen am Rhein,49.4811,8.435,False,Germany
Tübingen,48.5227,9.0522,False,Germany
Konstanz,47.6603,9.1758,False,Germany
Passau,48.5665,13.4313,False,Germany
Bamberg,49.8987,10.9007,False,Germany
Bayreuth,49.9427,11.576,False,Germany
Coburg,50.2612,10.9627,False,Germany
Gießen,50.584,8.6784,False,Germany
Marburg,50.807,8.7707,False,Germany
Kaiserslautern,49.4447,7.7697,False,Germany
