name,qx,qy,is_metropolitan,country,category
Berlin,52.52,13.405,True,Germany,basic-maps
Hamburg,53.5511,9.9937,True,Germany,basic-maps
Munich,48.1374,11.5755,True,Germany,basic-maps
Cologne,50.9375,6.9603,True,Germany,basic-maps
Frankfurt am Main,50.1109,8.6821,True,Germany,basic-maps
Stuttgart,48.7758,9.1829,True,Germany,basic-maps
Düsseldorf,51.2277,6.7735,True,Germany,basic-maps
Dortmund,51.5136,7.4653,True,Germany,basic-maps
Essen,51.4556,7.0116,True,Germany,basic-maps
Bremen,53.0793,8.8017,True,Germany,basic-maps
Leipzig,51.3397,12.3731,True,Germany,basic-maps
Dresden,51.0504,13.7373,True,Germany,basic-maps
Hanover,52.3759,9.732,True,Germany,basic-maps
Nuremberg,49.4521,11.0767,True,Germany,basic-maps
Duisburg,51.4344,6.7623,True,Germany,basic-maps
Bochum,51.4818,7.2162,True,Germany,basic-maps
Wuppertal,51.2562,7.1508,True,Germany,basic-maps
Bielefeld,52.02,8.531,True,Germany,basic-maps
Bonn,50.7374,7.0982,True,Germany,basic-maps
Münster,51.9607,7.6261,True,Germany,basic-maps
Karlsruhe,49.0069,8.4037,True,Germany,basic-maps
Mannheim,49.4875,8.466,True,Germany,basic-maps
Augsburg,48.3705,10.8978,True,Germany,basic-maps
Wiesbaden,50.0826,8.2417,True,Germany,basic-maps
Mainz,50.0012,8.2742,True,Germany,basic-maps
Saarbrücken,49.2402,6.9969,True,Germany,basic-maps
Kiel,54.3233,10.1228,True,Germany,basic-maps
Lübeck,53.8655,10.6866,True,Germany,basic-maps
Magdeburg,52.1205,11.6276,True,Germany,basic-maps
Erfurt,50.9787,11.0328,True,Germany,basic-maps
Potsdam,52.3906,13.0645,True,Germany,basic-maps
Schwerin,53.6294,11.4148,True,Germany,basic-maps
Rostock,54.0924,12.0991,True,Germany,basic-maps
Freiburg im Breisgau,47.999,7.8421,True,Germany,basic-maps
Heidelberg,49.3988,8.6724,True,Germany,basic-maps
Kassel,51.3127,9.4797,True,Germany,basic-maps
Oldenburg,53.1435,8.2146,True,Germany,basic-maps
Osnabrück,52.2799,8.0472,True,Germany,basic-maps
Regensburg,49.0134,12.1016,True,Germany,basic-maps
Würzburg,49.7913,9.9534,True,Germany,basic-maps
Ulm,48.4,9.9937,True,Germany,basic-maps
Paderborn,51.7189,8.7575,True,Germany,basic-maps
Trier,49.7499,6.6371,True,Germany,basic-maps
Jena,50.9271,11.5892,True,Germany,basic-maps
Gera,50.8772,12.0819,True,Germany,basic-maps
Chemnitz,50.8278,12.9214,True,Germany,basic-maps
Hagen,51.3671,7.4633,True,Germany,basic-maps
Hamm,51.6739,7.815,True,Germany,basic-maps
Krefeld,51.3388,6.5853,True,Germany,basic-maps
Mönchengladbach,51.1954,6.4417,True,Germany,basic-maps
Koblenz,50.3569,7.5886,True,Germany,basic-maps
Flensburg,54.7833,9.4333,False,Germany,basic-maps
Cottbus,51.7577,14.3289,False,Germany,basic-maps
Bremerhaven,53.5413,8.5767,False,Germany,basic-maps
Offenbach am Main,50.0956,8.7761,False,Germany,basic-maps
Heilbronn,49.1427,9.2109,False,Germany,basic-maps
Pforzheim,48.8919,8.6947,False,Germany,basic-maps
Reutlingen,48.4914,9.2043,False,Germany,basic-maps
Ingolstadt,48.7665,11.4257,False,Germany,basic-maps
Fürth,49.4774,10.9887,False,Germany,basic-maps
Erlangen,49.5897,11.0119,False,Germany,basic-maps
Siegen,50.8748,8.0243,False,Germany,basic-maps
Göttingen,51.5339,9.9356,False,Germany,basic-maps
Hildesheim,52.1548,9.957,False,Germany,basic-maps
Salzgitter,52.1548,10.3333,False,Germany,basic-maps
Wolfsburg,52.4227,10.7865,False,Germany,basic-maps
Braunschweig,52.2689,10.5268,False,Germany,basic-maps
Halle (Saale),51.4963,11.9689,False,Germany,basic-maps
Neuss,51.1986,6.693,False,Germany,basic-maps
Solingen,51.1652,7.0671,False,Germany,basic-maps
Remscheid,51.1787,7.1897,False,Germany,basic-maps
Darmstadt,49.8728,8.6512,False,Germany,basic-maps
Ludwigshafen am Rhein,49.4811,8.435,False,Germany,basic-maps
Tübingen,48.5227,9.0522,False,Germany,basic-maps
Konstanz,47.6603,9.1758,False,Germany,basic-maps
Passau,48.5665,13.4313,False,Germany,basic-maps
Bamberg,49.8987,10.9007,False,Germany,basic-maps
Bayreuth,49.9427,11.576,False,Germany,basic-maps
Coburg,50.2612,10.9627,False,Germany,basic-maps
Gießen,50.584,8.6784,False,Germany,basic-maps
Marburg,50.807,8.7707,False,Germany,basic-maps
Kaiserslautern,49.4447,7.7697,False,Germany,basic-maps
