name,qx,qy,is_metropolitan,country
Rome,41.9028,12.4964,True,Italy
Milan,45.4642,9.19,True,Italy
Naples,40.8522,14.2681,True,Italy
Turin,45.0703,7.6869,True,Italy
Palermo,38.1157,13.3615,True,Italy
Genoa,44.4056,8.9463,True,Italy
Bologna,44.4949,11.3426,True,Italy
Florence,43.7699,11.2556,True,Italy
Bari,41.1171,16.8719,True,Italy
Catania,37.5079,15.083,True,Italy
Venice,45.4408,12.3155,False,Italy
Verona,45.4384,10.9916,False,Italy
Messina,38.1938,15.554,False,Italy
Padua,45.4064,11.8768,False,Italy
Trieste,45.6495,13.7768,False,Italy
Taranto,40.4644,17.247,False,Italy
Brescia,45.5416,10.2118,False,Italy
Prato,43.88,11.097,False,Italy
Parma,44.8015,10.3279,False,Italy
Reggio Calabria,38.111,15.647,False,Italy
Modena,44.6471,10.9252,False,Italy
Reggio Emilia,44.6983,10.6312,False,Italy
Perugia,43.1107,12.3908,False,Italy
Ravenna,44.4184,12.2035,False,Italy
Livorno,43.5485,10.3106,False,Italy
Cagliari,39.2238,9.1217,False,Italy
Foggia,41.4622,15.5446,False,Italy
Salerno,40.6824,14.7681,False,Italy
Ferrara,44.835,11.6198,False,Italy
Sassari,40.7272,8.555,False,Italy
Latina,41.4676,12.9037,False,Italy
Giugliano in Campania,40.9271,14.195,False,Italy
Monza,45.5845,9.273,False,Italy
Siracusa,37.0755,15.2866,False,Italy
Pescara,42.4618,14.2161,False,Italy
Bergamo,45.6983,9.6773,False,Italy
Forlì,44.222,12.041,False,Italy
Trento,46.0669,11.1217,False,Italy
Vicenza,45.5455,11.5354,False,Italy
Terni,42.5626,12.6415,False,Italy
Bolzano,46.4983,11.3548,False,Italy
Novara,45.445,8.6222,False,Italy
Piacenza,45.0526,9.6929,False,Italy
Ancona,43.6158,13.5189,False,Italy
Arezzo,43.4633,11.8796,False,Italy
Cesena,44.1391,12.243,False,Italy
La Spezia,44.1025,9.8241,False,Italy
Catanzaro,38.9098,16.5877,False,Italy
Lecce,40.3529,18.174,False,Italy
Udine,46.062,13.2348,False,Italy
Treviso,45.6669,12.2425,False,Italy
Lucca,43.843,10.5055,False,Italy
