name,qx,qy,is_metropolitan,country
Tokyo,35.6895,139.6917,True,Japan
Yokohama,35.4437,139.638,True,Japan
Osaka,34.6937,135.5023,True,Japan
Nagoya,35.1815,136.9066,True,Japan
Sapporo,43.0618,141.3545,True,Japan
Fukuoka,33.5904,130.4017,True,Japan
Kobe,34.6901,135.1955,True,Japan
Kyoto,35.0116,135.7681,True,Japan
Kawasaki,35.5308,139.7036,True,Japan
Saitama,35.8617,139.6455,True,Japan
Hiroshima,34.3853,132.4553,False,Japan
Sendai,38.2682,140.8694,False,Japan
Kitakyushu,33.8833,130.8753,False,Japan
Chiba,35.6073,140.1063,False,Japan
Sakai,34.5733,135.4828,False,Japan
Niigata,37.9161,139.0364,False,Japan
Hamamatsu,34.7108,137.726,False,Japan
Shizuoka,34.9756,138.3828,False,Japan
Okayama,34.6551,133.9195,False,Japan
Kumamoto,32.8031,130.7079,False,Japan
Kagoshima,31.5966,130.5571,False,Japan
Funabashi,35.694,139.9826,False,Japan
Hachioji,35.655,139.3389,False,Japan
Matsuyama,33.839,132.7657,False,Japan
Kanazawa,36.5613,136.6562,False,Japan
Nagasaki,32.7503,129.8777,False,Japan
Oita,33.2396,131.6093,False,Japan
Aomori,40.8222,140.7474,False,Japan
Akita,39.7199,140.1035,False,Japan
Morioka,39.7036,141.1527,False,Japan
Matsumoto,36.2381,137.9717,False,Japan
Takamatsu,34.3428,134.0466,False,Japan
Toyama,36.6958,137.2137,False,Japan
Nara,34.6851,135.8048,False,Japan
Fukushima,37.7608,140.4747,False,Japan
Nagano,36.6513,138.181,False,Japan
Gifu,35.4233,136.7607,False,Japan
Koshigaya,35.8912,139.7902,False,Japan
Ichikawa,35.7219,139.9311,False,Japan
Yokosuka,35.281,139.6722,False,Japan
Fukui,36.0641,136.2196,False,Japan
Asahikawa,43.7706,142.3649,False,Japan
Hakodate,41.7688,140.7288,False,Japan
Himeji,34.8151,134.6853,False,Japan
Kawagoe,35.9081,139.4853,False,Japan
Tokorozawa,35.7992,139.469,False,Japan
Yokkaichi,34.9654,136.6249,False,Japan
Utsunomiya,36.5551,139.8828,False,Japan
Otsu,35.017,135.8546,False,Japan
Fujisawa,35.3383,139.491,False,Japan
Hirakata,34.8136,135.6491,False,Japan
Kurashiki,34.585,133.7717,False,Japan
Kochi,33.5597,133.5311,False,Japan
