name,qx,qy,is_metropolitan,country,category
Tokyo,35.6895,139.6917,True,Japan,basic-maps
Yokohama,35.4437,139.638,True,Japan,basic-maps
Osaka,34.6937,135.5023,True,Japan,basic-maps
Nagoya,35.1815,136.9066,True,Japan,basic-maps
Sapporo,43.0618,141.3545,True,Japan,basic-maps
Fukuoka,33.5904,130.4017,True,Japan,basic-maps
Kobe,34.6901,135.1955,True,Japan,basic-maps
Kyoto,35.0116,135.7681,True,Japan,basic-maps
Kawasaki,35.5308,139.7036,True,Japan,basic-maps
Saitama,35.8617,139.6455,True,Japan,basic-maps
Hiroshima,34.3853,132.4553,False,Japan,basic-maps
Sendai,38.2682,140.8694,False,Japan,basic-maps
Kitakyushu,33.8833,130.8753,False,Japan,basic-maps
Chiba,35.6073,140.1063,False,Japan,basic-maps
Sakai,34.5733,135.4828,False,Japan,basic-maps
Niigata,37.9161,139.0364,False,Japan,basic-maps
Hamamatsu,34.7108,137.726,False,Japan,basic-maps
Shizuoka,34.9756,138.3828,False,Japan,basic-maps
Okayama,34.6551,133.9195,False,Japan,basic-maps
Kumamoto,32.8031,130.7079,False,Japan,basic-maps
Kagoshima,31.5966,130.5571,False,Japan,basic-maps
Funabashi,35.694,139.9826,False,Japan,basic-maps
Hachioji,35.655,139.3389,False,Japan,basic-maps
Matsuyama,33.839,132.7657,False,Japan,basic-maps
Kanazawa,36.5613,136.6562,False,Japan,basic-maps
Nagasaki,32.7503,129.8777,False,Japan,basic-maps
Oita,33.2396,131.6093,False,Japan,basic-maps
Aomori,40.8222,140.7474,False,Japan,basic-maps
Akita,39.7199,140.1035,False,Japan,basic-maps
Morioka,39.7036,141.1527,False,Japan,basic-maps
Matsumoto,36.2381,137.9717,False,Japan,basic-maps
Takamatsu,34.3428,134.0466,False,Japan,basic-maps
Toyama,36.6958,137.2137,False,Japan,basic-maps
Nara,34.6851,135.8048,False,Japan,basic-maps
Fukushima,37.7608,140.4747,False,Japan,basic-maps
Nagano,36.6513,138.181,False,Japan,basic-maps
Gifu,35.4233,136.7607,False,Japan,basic-maps
Koshigaya,35.8912,139.7902,False,Japan,basic-maps
Ichikawa,35.7219,139.9311,False,Japan,basic-maps
Yokosuka,35.281,139.6722,False,Japan,basic-maps
Fukui,36.0641,136.2196,False,Japan,basic-maps
Asahikawa,43.7706,142.3649,False,Japan,basic-maps
Hakodate,41.7688,140.7288,False,Japan,basic-maps
Himeji,34.8151,134.6853,False,Japan,basic-maps
Kawagoe,35.9081,139.4853,False,Japan,basic-maps
Tokorozawa,35.7992,139.469,False,Japan,basic-maps
Yokkaichi,34.9654,136.6249,False,Japan,basic-maps
Utsunomiya,36.5551,139.8828,False,Japan,basic-maps
Otsu,35.017,135.8546,False,Japan,basic-maps
Fujisawa,35.3383,139.491,False,Japan,basic-maps
Hirakata,34.8136,135.6491,False,Japan,basic-maps
Kurashiki,34.585,133.7717,False,Japan,basic-maps
Kochi,33.5597,133.5311,False,Japan,basic-maps
