name,qx,qy,is_metropolitan,country
London,51.5074,-0.1278,True,United Kingdom
Birmingham,52.4862,-1.8904,True,United Kingdom
Manchester,53.4808,-2.2426,True,United Kingdom
Leeds,53.8008,-1.5491,True,United Kingdom
Liverpool,53.4084,-2.9916,True,United Kingdom
Sheffield,53.3811,-1.4701,True,United Kingdom
Bristol,51.4545,-2.5879,True,United Kingdom
Newcastle upon Tyne,54.9783,-1.6174,True,United Kingdom
Nottingham,52.9548,-1.1581,True,United Kingdom
Leicester,52.6369,-1.1398,True,United Kingdom
Coventry,52.4068,-1.5197,False,United Kingdom
Kingston upon Hull,53.7457,-0.3367,False,United Kingdom
Stoke-on-Trent,53.0027,-2.1794,False,United Kingdom
Southampton,50.9097,-1.4044,False,United Kingdom
Reading,51.4543,-0.9781,False,United Kingdom
Derby,52.9225,-1.4746,False,United Kingdom
Plymouth,50.3755,-4.1427,False,United Kingdom
Brighton,50.8225,-0.1372,False,United Kingdom
Aberdeen,57.1497,-2.0943,False,United Kingdom
Edinburgh,55.9533,-3.1883,True,United Kingdom
Glasgow,55.8642,-4.2518,True,United Kingdom
Cardiff,51.4816,-3.1791,True,United Kingdom
Belfast,54.5973,-5.9301,True,United Kingdom
