name,qx,qy,is_metropolitan,country
Adana,37.0,35.3213,True,Turkey
Adiyaman,37.7648,38.2763,True,Turkey
Afyonkarahisar,38.7569,30.5387,False,Turkey
Agri,39.7191,43.0503,False,Turkey
Amasya,40.6539,35.8331,False,Turkey
Ankara,39.925533,32.866287,True,Turkey
Antalya,36.8969,30.7133,True,Turkey
Artvin,41.1833,41.8167,False,Turkey
Aydin,37.845,27.8396,True,Turkey
Balikesir,39.6484,27.8826,True,Turkey
Bilecik,40.15,29.9833,False,Turkey
Bingol,38.8853,40.4989,False,Turkey
Bitlis,38.3938,42.1232,False,Turkey
Bolu,40.7395,31.6116,False,Turkey
Burdur,37.7167,30.2833,False,Turkey
Bursa,40.1828,29.0669,True,Turkey
Canakkale,40.1467,26.4086,False,Turkey
Cankiri,40.6,33.6167,False,Turkey
Corum,40.5506,34.9556,False,Turkey
Denizli,37.7833,29.0947,True,Turkey
Diyarbakir,37.91,40.2367,True,Turkey
Edirne,41.6772,26.5556,False,Turkey
Elazig,38.68,39.2264,False,Turkey
Erzincan,39.75,39.5,False,Turkey
Erzurum,39.9043,41.2679,False,Turkey
Eskisehir,39.7767,30.5206,True,Turkey
Gaziantep,37.0662,37.3833,True,Turkey
Giresun,40.9128,38.3895,False,Turkey
Gumushane,40.4603,39.4814,False,Turkey
Hakkari,37.5833,43.7333,False,Turkey
Hatay,36.2028,36.16,True,Turkey
Isparta,37.7667,30.55,False,Turkey
Mersin,36.8121,34.6415,True,Turkey
Istanbul,41.0082,28.9784,True,Turkey
Izmir,38.4192,27.1287,True,Turkey
Kars,40.6014,43.0955,False,Turkey
Kastamonu,41.3887,33.7827,False,Turkey
Kayseri,38.7333,35.4833,True,Turkey
Kirklareli,41.7333,27.2167,False,Turkey
Kirsehir,39.15,34.1667,False,Turkey
Kocaeli,40.8533,29.8815,True,Turkey
Konya,37.8716,32.4846,True,Turkey
Kutahya,39.4167,29.9833,False,Turkey
Malatya,38.3552,38.3095,True,Turkey
Manisa,38.6191,27.4289,True,Turkey
Kahramanmaras,37.5736,36.9371,True,Turkey
Mardin,37.3122,40.7351,False,Turkey
Mugla,37.2153,28.3636,True,Turkey
Mus,38.7417,41.5069,False,Turkey
Nevsehir,38.6244,34.7236,False,Turkey
Nigde,37.9667,34.6833,False,Turkey
Ordu,40.9839,37.8764,True,Turkey
Rize,41.0201,40.5234,False,Turkey
Sakarya,40.7731,30.3949,True,Turkey
Samsun,41.2867,36.33,True,Turkey
Siirt,37.9333,41.95,False,Turkey
Sinop,42.0264,35.155,False,Turkey
Sivas,39.7477,37.0179,False,Turkey
Tekirdag,40.9781,27.511,True,Turkey
Tokat,40.3139,36.5544,False,Turkey
Trabzon,41.0015,39.7178,True,Turkey
Tunceli,39.1,39.55,False,Turkey
Sanliurfa,37.1591,38.7969,True,Turkey
Usak,38.6823,29.4082,False,Turkey
Van,38.4946,43.3832,True,Turkey
Yozgat,39.8181,34.8156,False,Turkey
Zonguldak,41.4564,31.7987,False,Turkey
Aksaray,38.3687,34.036,False,Turkey
Bayburt,40.2552,40.2249,False,Turkey
Karaman,37.1759,33.2287,False,Turkey
Kirikkale,39.8468,33.5153,False,Turkey
Batman,37.8812,41.1351,False,Turkey
Sirnak,37.5164,42.461,False,Turkey
Bartin,41.6358,32.3375,False,Turkey
Ardahan,41.1105,42.7022,False,Turkey
Igdir,39.9167,44.0333,False,Turkey
Yalova,40.65,29.2667,False,Turkey
Karabuk,41.2,32.6333,False,Turkey
Kilis,36.7161,37.115,False,Turkey
Osmaniye,37.0742,36.2476,False,Turkey
Duzce,40.8438,31.1565,False,Turkey
